,hour,occupancy
0,2016-02-01 00:00:00,31.0
1,2016-02-01 01:00:00,30.0
2,2016-02-01 02:00:00,30.0
3,2016-02-01 03:00:00,30.0
4,2016-02-01 04:00:00,56.0
5,2016-02-01 05:00:00,251.0
6,2016-02-01 06:00:00,843.0
7,2016-02-01 07:00:00,1630.0
8,2016-02-01 08:00:00,2217.0
9,2016-02-01 09:00:00,2366.0
10,2016-02-01 10:00:00,2408.0
11,2016-02-01 11:00:00,2406.0
12,2016-02-01 12:00:00,2382.0
13,2016-02-01 13:00:00,2391.0
14,2016-02-01 14:00:00,2368.0
15,2016-02-01 15:00:00,2291.0
16,2016-02-01 16:00:00,2076.0
17,2016-02-01 17:00:00,1413.0
18,2016-02-01 18:00:00,714.0
19,2016-02-01 19:00:00,277.0
20,2016-02-01 20:00:00,146.0
21,2016-02-01 21:00:00,107.0
22,2016-02-01 22:00:00,76.0
23,2016-02-01 23:00:00,59.0
24,2016-02-02 00:00:00,49.0
25,2016-02-02 01:00:00,42.0
26,2016-02-02 02:00:00,39.0
27,2016-02-02 03:00:00,37.0
28,2016-02-02 04:00:00,56.0
29,2016-02-02 05:00:00,186.0
30,2016-02-02 06:00:00,578.0
31,2016-02-02 07:00:00,1053.0
32,2016-02-02 08:00:00,1453.0
33,2016-02-02 09:00:00,1590.0
34,2016-02-02 10:00:00,1635.0
35,2016-02-02 11:00:00,1645.0
36,2016-02-02 12:00:00,1621.0
37,2016-02-02 13:00:00,1632.0
38,2016-02-02 14:00:00,1599.0
39,2016-02-02 15:00:00,1545.0
40,2016-02-02 16:00:00,1357.0
41,2016-02-02 17:00:00,890.0
42,2016-02-02 18:00:00,468.0
43,2016-02-02 19:00:00,223.0
44,2016-02-02 20:00:00,126.0
45,2016-02-02 21:00:00,91.0
46,2016-02-02 22:00:00,71.0
47,2016-02-02 23:00:00,53.0
48,2016-02-03 00:00:00,47.0
49,2016-02-03 01:00:00,44.0
50,2016-02-03 02:00:00,40.0
51,2016-02-03 03:00:00,38.0
52,2016-02-03 04:00:00,64.0
53,2016-02-03 05:00:00,248.0
54,2016-02-03 06:00:00,870.0
55,2016-02-03 07:00:00,1634.0
56,2016-02-03 08:00:00,2247.0
57,2016-02-03 09:00:00,2435.0
58,2016-02-03 10:00:00,2474.0
59,2016-02-03 11:00:00,2486.0
60,2016-02-03 12:00:00,2452.0
61,2016-02-03 13:00:00,2468.0
62,2016-02-03 14:00:00,2435.0
63,2016-02-03 15:00:00,2361.0
64,2016-02-03 16:00:00,2135.0
65,2016-02-03 17:00:00,1440.0
66,2016-02-03 18:00:00,747.0
67,2016-02-03 19:00:00,335.0
68,2016-02-03 20:00:00,187.0
69,2016-02-03 21:00:00,138.0
70,2016-02-03 22:00:00,94.0
71,2016-02-03 23:00:00,61.0
72,2016-02-04 00:00:00,54.0
73,2016-02-04 01:00:00,48.0
74,2016-02-04 02:00:00,44.0
75,2016-02-04 03:00:00,44.0
76,2016-02-04 04:00:00,70.0
77,2016-02-04 05:00:00,253.0
78,2016-02-04 06:00:00,849.0
79,2016-02-04 07:00:00,1629.0
80,2016-02-04 08:00:00,2232.0
81,2016-02-04 09:00:00,2438.0
82,2016-02-04 10:00:00,2484.0
83,2016-02-04 11:00:00,2476.0
84,2016-02-04 12:00:00,2431.0
85,2016-02-04 13:00:00,2441.0
86,2016-02-04 14:00:00,2411.0
87,2016-02-04 15:00:00,2331.0
88,2016-02-04 16:00:00,2073.0
89,2016-02-04 17:00:00,1388.0
90,2016-02-04 18:00:00,697.0
91,2016-02-04 19:00:00,305.0
92,2016-02-04 20:00:00,173.0
93,2016-02-04 21:00:00,116.0
94,2016-02-04 22:00:00,87.0
95,2016-02-04 23:00:00,61.0
96,2016-02-05 00:00:00,48.0
97,2016-02-05 01:00:00,42.0
98,2016-02-05 02:00:00,38.0
99,2016-02-05 03:00:00,38.0
100,2016-02-05 04:00:00,53.0
101,2016-02-05 05:00:00,162.0
102,2016-02-05 06:00:00,529.0
103,2016-02-05 07:00:00,1102.0
104,2016-02-05 08:00:00,1603.0
105,2016-02-05 09:00:00,1781.0
106,2016-02-05 10:00:00,1808.0
107,2016-02-05 11:00:00,1806.0
108,2016-02-05 12:00:00,1687.0
109,2016-02-05 13:00:00,1600.0
110,2016-02-05 14:00:00,1517.0
111,2016-02-05 15:00:00,1345.0
112,2016-02-05 16:00:00,1009.0
113,2016-02-05 17:00:00,630.0
114,2016-02-05 18:00:00,283.0
115,2016-02-05 19:00:00,126.0
116,2016-02-05 20:00:00,84.0
117,2016-02-05 21:00:00,71.0
118,2016-02-05 22:00:00,56.0
119,2016-02-05 23:00:00,42.0
120,2016-02-06 00:00:00,36.0
121,2016-02-06 01:00:00,33.0
122,2016-02-06 02:00:00,33.0
123,2016-02-06 03:00:00,32.0
124,2016-02-06 04:00:00,30.0
125,2016-02-06 05:00:00,32.0
126,2016-02-06 06:00:00,36.0
127,2016-02-06 07:00:00,42.0
128,2016-02-06 08:00:00,60.0
129,2016-02-06 09:00:00,76.0
130,2016-02-06 10:00:00,86.0
131,2016-02-06 11:00:00,91.0
132,2016-02-06 12:00:00,97.0
133,2016-02-06 13:00:00,95.0
134,2016-02-06 14:00:00,90.0
135,2016-02-06 15:00:00,85.0
136,2016-02-06 16:00:00,76.0
137,2016-02-06 17:00:00,60.0
138,2016-02-06 18:00:00,51.0
139,2016-02-06 19:00:00,46.0
140,2016-02-06 20:00:00,41.0
141,2016-02-06 21:00:00,38.0
142,2016-02-06 22:00:00,35.0
143,2016-02-06 23:00:00,33.0
144,2016-02-07 00:00:00,32.0
145,2016-02-07 01:00:00,32.0
146,2016-02-07 02:00:00,31.0
147,2016-02-07 03:00:00,30.0
148,2016-02-07 04:00:00,31.0
149,2016-02-07 05:00:00,31.0
150,2016-02-07 06:00:00,32.0
151,2016-02-07 07:00:00,35.0
